,zip_code,latitude,longitude
359,60637,41.811929,-87.68732
360,60638,41.811929,-87.68732
361,60639,41.811929,-87.68732
362,60640,41.811929,-87.68732
363,60641,41.811929,-87.68732
364,60643,41.811929,-87.68732
365,60644,41.811929,-87.68732
366,60645,42.00808,-87.721458
367,60646,42.00663,-87.75901
368,60647,41.811929,-87.68732
369,60649,41.811929,-87.68732
370,60651,41.811929,-87.68732
371,60652,41.811929,-87.68732
372,60653,41.811929,-87.68732
373,60654,41.811929,-87.68732
374,60655,41.811929,-87.68732
375,60656,41.97353,-87.865763
376,60657,41.811929,-87.68732
377,60659,41.997247,-87.71662099999998
378,60660,41.811929,-87.68732
379,60661,41.811929,-87.68732
380,60663,41.811929,-87.68732
381,60664,41.811929,-87.68732
382,60665,41.811929,-87.68732
383,60666,41.968029,-87.891214
384,60667,41.811929,-87.68732
385,60668,41.811929,-87.68732
386,60669,41.811929,-87.68732
387,60670,41.811929,-87.68732
388,60671,41.811929,-87.68732
389,60672,41.811929,-87.68732
390,60673,41.811929,-87.68732
391,60674,41.811929,-87.68732
392,60675,41.811929,-87.68732
393,60677,41.811929,-87.68732
394,60678,41.811929,-87.68732
395,60679,41.811929,-87.68732
396,60680,41.811929,-87.68732
397,60681,41.811929,-87.68732
398,60683,41.811929,-87.68732
399,60684,41.811929,-87.68732
400,60685,41.811929,-87.68732
401,60687,41.811929,-87.68732
402,60688,,
403,60690,41.811929,-87.68732
404,60691,41.811929,-87.68732
405,60693,42.096428,-87.71791
406,60694,41.811929,-87.68732
407,60696,,
408,60697,41.811929,-87.68732
409,60699,41.811929,-87.68732
410,60701,41.811929,-87.68732
411,60706,41.811929,-87.68732
412,60707,41.923181,-87.81850899999998
413,60712,42.00798,-87.736135
414,60714,42.031179,-87.811163
415,60803,41.811929,-87.68732
416,60804,41.811929,-87.68732
417,60805,41.811929,-87.68732
418,60827,41.811929,-87.68732
419,60901,41.111151,-87.874618
420,60902,41.146464,-87.888971
421,60910,41.091582,-87.68428399999998
422,60911,40.87625900000001,-87.973929
423,60912,40.963099,-87.62594200000002
424,60913,41.1388,-88.053534
425,60914,41.180968,-87.847038
426,60915,41.207762,-87.84258299999998
427,60917,41.056333,-88.073844
428,60918,40.600817,-88.023748
429,60919,40.967141,-88.188841
430,60920,41.024755,-88.307221
431,60921,40.736954,-88.294923
432,60922,40.968795,-87.951233
433,60924,40.738175,-87.90787399999998
434,60926,40.567574,-87.804046
435,60927,40.929595,-87.945327
436,60928,40.66202,-87.95062
437,60929,40.88250900000001,-88.30019
438,60930,40.811396,-87.967134
439,60931,40.880529,-87.598831
440,60932,40.344417,-87.701583
441,60933,40.46483,-88.271245
442,60934,40.969209,-88.358928
443,60935,41.155397,-88.157189
444,60936,40.696479,-88.318387
445,60938,40.765951,-87.834645
446,60939,40.748087,-87.82876
447,60940,41.204947,-87.64415100000002
448,60941,41.12077,-87.899733
449,60942,40.442138,-87.672943
450,60944,41.146464,-87.888971
451,60945,40.826919,-87.58466800000002
452,60946,40.89732100000001,-88.186897
453,60948,40.537227,-87.9663
454,60949,40.370897,-88.152546
455,60950,41.173292,-87.87675
456,60951,40.931202,-87.747179
457,60952,40.53791500000001,-88.299338
458,60953,40.75071,-87.69503900000002
459,60954,41.116572,-87.86851899999998
460,60955,40.758445,-87.852046
461,60956,40.966993,-87.716074
462,60957,40.660905,-88.197834
463,60959,40.720981,-88.18673199999998
464,60960,40.422456,-87.858213
465,60961,41.099001,-88.19840500000002
466,60962,40.57087,-88.23468199999998
467,60963,40.363126,-87.682897
468,60964,41.068206,-87.687329
469,60966,40.75308,-87.58941
470,60967,40.748087,-87.82876
471,60968,40.673257,-88.099724
472,60969,41.108802,-88.146523
473,60970,40.749938,-87.798478
474,60973,40.63319600000001,-87.65832900000002
475,60974,40.715072,-87.730743
476,61001,42.454161,-90.118471
477,61006,41.838351,-89.193176
478,61007,42.178584,-89.595377
479,61008,42.276381,-88.823215
480,61010,42.091976,-89.322625
481,61011,42.397024,-88.843027
482,61012,42.41042,-88.759953
483,61013,42.376127,-89.636483
484,61014,41.994827,-89.877636
485,61015,41.99742,-89.19964
486,61016,42.240704,-88.98374799999998
487,61018,42.41079600000001,-89.583179
488,61019,42.398148,-89.611026
489,61020,42.106337,-89.09920100000002
490,61021,41.809229,-89.417156
491,61024,42.434686,-89.21337700000002
492,61025,42.46626,-90.540556
493,61027,42.332038,-89.76117099999998
494,61028,42.309263,-90.181064
495,61030,42.120046,-89.31259200000002
496,61031,41.816006,-89.311037
497,61032,42.323529,-89.591606
498,61036,42.382277,-90.312588
499,61037,41.786534,-89.761042
500,61038,42.261184,-88.761434
501,61039,42.238319,-89.459521
502,61041,42.274653,-90.295132
503,61042,41.689533,-89.545604
504,61043,42.045123,-89.31359300000003
505,61044,42.282256,-89.891281
506,61046,42.078942,-89.814738
507,61047,42.147816,-89.278387
508,61048,42.386301,-89.81675600000001
509,61049,42.024619,-89.004111
510,61050,42.428135,-89.7643
511,61051,41.991827,-89.764016
